propertyCode,price,province,municipality,priceByArea,floor,size,rooms,bathrooms,exterior,distance,status,hasLift,propertyType,operation,address,hasParkingSpace,isParkingSpaceIncludedInPrice,district,neighborhood,latitude,longitude,valuation
37285057,1225000.0,Barcelona,Barcelona,9007,4,136.0,2,3,1,1181,good,1.0,flat,sale,Rosselló,0,0,Eixample,La Dreta de l'Eixample,41.3954,2.16151,overpriced
40572258,425000.0,Barcelona,Barcelona,4474,1,95.0,4,2,1,2212,good,1.0,flat,sale,Calle del Rosselló,0,0,Eixample,La Nova Esquerra de l'Eixample,41.3829,2.14402,underpriced
82775284,100000.0,Barcelona,Barcelona,2174,,46.0,2,1,0,833,good,0.0,flat,sale,Calle d'En Botella,0,0,Ciutat Vella,El Raval,41.3803,2.16523,underpriced
84171634,190000.0,Barcelona,Barcelona,2714,4,70.0,2,1,1,1621,renew,0.0,duplex,sale,"Calle Nou de la Rambla, Barcelona",0,0,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,41.3724,2.16827,average
84349307,495000.0,Barcelona,Barcelona,6429,1,77.0,2,3,0,3385,good,1.0,flat,sale,barrio Les Tres Torres,1,0,Sarrià-Sant Gervasi,Les Tres Torres,41.3993,2.13291,overpriced
85293062,245000.0,Barcelona,Barcelona,2816,4,87.0,3,2,1,3824,good,1.0,flat,sale,Rambla Badal,0,0,Sants-Montjuïc,La Bordeta,41.3663,2.13327,average
85492723,750000.0,Barcelona,Barcelona,4688,,160.0,3,3,0,659,good,,flat,sale,barrio El Gòtic,0,0,Ciutat Vella,El Gòtic,41.3829,2.17578,overpriced
86240410,123000.0,Barcelona,Barcelona,1708,2,72.0,3,1,1,7255,good,0.0,flat,sale,Calle del Turó de la Trinitat,0,0,Sant Andreu,La Trinitat Vella,41.4505,2.18964,average
86373135,2250000.0,Barcelona,Barcelona,4967,5,453.0,5,4,1,2670,good,1.0,flat,sale,"REINA VICTORIA, 1",1,1,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3975,2.14127,average
86461121,398000.0,Barcelona,Santa Coloma de Gramenet,1658,,240.0,3,3,0,8182,good,,chalet,sale,Calle Rafael Casanova,1,1,Centre,,41.4528,2.2136,underpriced
86655255,255000.0,Barcelona,Hospitalet de Llobregat,2629,bj,97.0,3,2,1,4188,good,1.0,flat,sale,barrio La Torrasa,0,0,La Torrasa,La Torrasa,41.3708,2.12463,average
87522875,210000.0,Barcelona,El Prat de Llobregat,2100,2,100.0,4,1,1,9252,renew,1.0,flat,sale,Pau Casals,0,0,Centre,,41.3254,2.09532,average
87849566,54500.0,Barcelona,Sant Adriá de Besós,1434,,38.0,2,1,0,6400,renew,,flat,sale,Calle de Lleida s/n,0,0,,,41.4248,2.22778,
88277565,305000.0,Barcelona,Santa Coloma de Gramenet,953,,320.0,5,2,0,7954,good,,chalet,sale,Mas Marí,1,1,Santa Rosa - Can Mariné,,41.4488,2.21793,average
88534994,175500.0,Barcelona,Sant Joan Despí,2700,,65.0,3,1,1,9758,good,0.0,flat,sale,Calle del Bon Viatge,0,0,Centre,,41.3638,2.05717,overpriced
88544342,349000.0,Barcelona,Barcelona,1745,1,200.0,4,2,0,1547,good,1.0,flat,sale,"Calle de Tamarit, 115",0,0,Eixample,Sant Antoni,41.3765,2.15775,underpriced
88590497,1800000.0,Barcelona,Barcelona,11613,2,155.0,3,2,1,917,good,1.0,flat,sale,Paseo de Gràcia,0,0,Eixample,La Dreta de l'Eixample,41.394,2.16435,overpriced
88856174,129500.0,Barcelona,Sant Joan Despí,1877,,69.0,3,1,0,8500,good,0.0,flat,sale,Calle de València,0,0,Les Planes,,41.3685,2.07113,overpriced
